STN Code,Sampling Date,Month,Sampling Time,Stn Name,Type Water Body,Name Of Water Body,River Basin,District,State Name,Mon Agency,Frequency,Major Polluting Sources,Use Based Class, Use of Water in Down Stream, Visibility Effluent Discharge,Weather,Approx Depth,Human Activities,Floating Matter,Color,Odor,Flow,Temperature,Dissolved O2,pH,Conductivity,BOD,Nitrate N,Fecal Coliform,Total Coliform,Fecal Streptococci,Turbidity,Phenophelene Alkanity,Total Alkalinity,Chlorides,COD,Total Kjeldahl N,Amonia N,Hardness CaCo3,Calcium CaCo3,Magnesium CaCo3,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Flouride,Remark,latitude,longitude
1312,45785,Aug,0.6875,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,1,28,6.7,8.4,575,3.2,0.54,1.8(BDL),35,1.8(BDL),1(BDL),6,122,58.48,16,1.68,0.43,144,64,80,72,60.44,497,448,10(BDL),0.78,0.58,2.88,0.5,NA,19°29.263',75°22.272'
2158,45785,Aug,0.666666667,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.6,8.3,576,3.2,0.52,1.8(BDL),25,1.8(BDL),1.02,6,120,63.48,16,2.8,0.86,142,66,76,68.88,61.1,489,441,11,0.71,0.61,3.14,0.41,NA,19°30.887’,75°22.457’
2159,45785,Aug,0.71875,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.9,8.5,573,3.2,0.56,1.8(BDL),20,1.8(BDL),1.02,6,140,58.98,16,3.36,1.8,140,62,78,68.54,67.84,491,442,11,0.76,0.56,3.16,0.45,NA,19°28.835’,75°23.835’
2160,45785,Aug,0.625,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,7,7.9,592,3.4,0.58,1.8(BDL),13,1.8(BDL),1.02,6,140,55.98,20,2.24,0.4,140,72,68,73.3,55.38,479,612,10(BDL),1.47,0.55,3.13,0.6,NA,19°37.463’,75°01.490’
2161,45755,Aug,0.645833333,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,Godavari,Godavari,Jalna,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,2,29,6.6,8.7,922,3.8,0.63,1.8(BDL),14,1.8(BDL),1.03,6,130,98.47,20,1.68,0.44,160,82,78,128.8,114.98,765,689,12,0.33,0.56,4.57,0.49,NA,19°21.392’,75°42.870’
2657,45755,Aug,0.541666667,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,Bindusara,Bindusara,Beed,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0.5,30,7.1,8.6,356,3,0.7,1.8(BDL),17,1.8(BDL),1.01,6,140,13,16,5.6,2.28,120,60,60,21.1,20.8,316,285,10(BDL),1.12,0.55,1.54,0.95,NA,18° 54.922’,75° 44.236’
2157,45724,Aug,0.333333333,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,Godavari,Godavari,Latur,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Cloudy,50-100cm,Fishing,Yes,Light Brown,Odor Free,1,20,7,8.3,506,3.2,1.8,1.8(BDL),21,1.8(BDL),1.2,6,150,52.48,16,3.36,1.35,140,64,76,46.5,46.91,418,377,12,0.2(BDL),0.56,4.48,0.99,NA,18°33.243’,76°08.899’
2673,45724,Aug,0.375,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,Manjara,Manjara,Latur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,A (Drinking Water source without conventional treatment but after disinfection),,Muncipal Sewage,Cloudy,50-100cm,"Washing,Fishing",Yes,Light Brown,Fishy,8,22,6.8,8.5,526,3.6,1.95,1.8(BDL),25,1.8(BDL),1.22,6,148,50.48,20,5.04,2.54,120,60,60,56.86,48.67,441,397,10(BDL),1,0.58,4.17,0.72,NA,18° 25.826’,76° 40.253’
1209,45785,Aug,0.479166667,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,None,0,31,6,8.1,721,3.8,3.2,1.8(BDL),21,1.8(BDL),1.03,6,100,54.98,16,4.48,0.41,148,64,84,63.3,46.8,353,318,10(BDL),0.77,0.53,3.24,0.89,NA,18°53.781’,77°40.660’
1210,45785,Aug,0.354166667,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Fishing,Boating,Tourism Spot",Yes,Clear,None,0,31,6.4,8.3,409,3.8,2.1,1.8(BDL),15,1.8(BDL),1.27,6,142,32.49,20,2.24,1.49,130,60,70,60.7,44.39,355,320,12,0.49,0.53,3.05,0.46,NA,19°07.611’,77°16.763’
5992,45785,Aug,0.395833333,"Asna River, Dist- Nanded",River,NA,NA,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Bathing,Fishing",Yes,Clear,None,0,31,5.3,9,413,4.8,1.74,1.8(BDL),25,1.8(BDL),1.2,6,100,32.99,24,3.36,1.82,120,62,58,58.64,38.47,339,306,11,0.32,0.59,3.25,0.31,NA,19.175556,77.350556
12,45755,Aug,0.381944444,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,Godavari,Godavari,Parbhani,Maharashtra,Maharashtra PCB,Monthly,None,"E (Irrigation, industrial cooling and controlled waste)",,None,Clear,Greater than 100cm,Cultivation,Yes,Clear,None,0,18,7.7,8.5,332,2.8,0.74,1.8(BDL),30,1.8(BDL),1.02,6,146,18.99,12,3.36,2.01,164,84,80,23.02,31.91,302,272,11,1.02,0.54,3.02,0.84,NA,19°13.524’,76°21.854’
5991,45724,Aug,0.715277778,"Purna River, Yeldari dam, Dist- Parbhani",River,NA,NA,Parbhani,Maharashtra,Maharashtra PCB,Monthly,None,C (Drinking water source),,None,Clear,Greater than 100cm,Cultivation,Yes,Clear,None,0,19,7.4,7.8,4231,3.2,0.66,1.8(BDL),20,1.8(BDL),1.01,6,132,32.99,16,4.48,2.4,122,58,64,35.28,32.62,356,321,10(BDL),1.01,0.53,3.49,0.98,NA,19.72034,76.73189
1153,45755,Aug,0.204861111,"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,7.1,7.8,169,2.6,1.14,5.6,25,1.8(BDL),1(BDL),5(BDL),62,12.95,16,1.5(BDL),0.44,61.2,40,21.2,8.8,5(BDL),129,116,11,0.2(BDL),NA,1(BDL),0.25,NA,16°37.717 ’,74°39.893’
1310,45755,Aug,0.229166667,"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",River,Krishna,Krishna,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,7,7.7,167,2.8,1.15,5.6,25,1.8(BDL),1(BDL),5(BDL),62,12.75,16,1.5(BDL),0.4,62.2,41.8,20.4,8.5,5(BDL),128,115,11,0.2(BDL),NA,1(BDL),0.2(BDL),NA,16°41.276’,74°36.055’
1904,45755,Aug,0.489583333,"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,6.9,7.6,92,3,0.78,5.6,25,1.8(BDL),1(BDL),5(BDL),42,7.85,16,1.5(BDL),0.4,41.8,30.2,11.6,7.8,5(BDL),76,68,10(BDL),0.2(BDL),NA,1(BDL),0.27,NA,16°41.553',74°09.973'
1905,45755,Aug,0.319444444,"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,7.1,7.8,130,2.8,0.91,5.6,24,1.8(BDL),1(BDL),5(BDL),60,10.4,24,1.5(BDL),0.54,61,41,20,6.5,5(BDL),104,94,12,0.2(BDL),NA,1(BDL),0.2(BDL),NA,16°42.697',74°16.822'
2163,45755,Aug,0.253472222,"Panchaganga river at Shirol near Shirol Intake well, Village. Shirol, Taluka. Shirol, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,6.9,7.7,153,3,0.97,5.5,24,1.8(BDL),1(BDL),5(BDL),58,12.9,20,1.5(BDL),0.42,58.2,40,18.2,9.6,5(BDL),118,106,12,0.2(BDL),NA,1(BDL),0.36,NA,16º43.313',74º35.672'
1311,45755,Aug,0.170138889,"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",River,Panchganga,Panchganga,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,6.8,7.8,142,2.8,0.91,9.3,34,1.8(BDL),1(BDL),5(BDL),58,10.4,12,1.5(BDL),0.4,61,42.4,18.6,7.5,5(BDL),112,101,12,0.2(BDL),NA,1(BDL),0.22,NA,16°39.950’,74°28.495’
5986,45755,Aug,0.461805556,"Bhogawati River water sample at Haldi KT Weir, Tal. Karveer, Dist. Kolhapur ",River,NA,NA,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,6.4,7.7,96,3,0.74,6.8,27,1.8(BDL),1(BDL),5(BDL),62,8.05,24,1.5(BDL),0.51,48.6,29.4,19.2,7.4,5(BDL),78,70,10(BDL),0.2(BDL),NA,1(BDL),0.32,NA,16.5833,74.15
5987,45755,Aug,0.239583333,"Panchaganga River, Terwad bandhara, Dist- Kolhapur",River,NA,NA,Kolhapur,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,"Bathing,Washing,Fishing,Others",No,Clear,None,0,26,6.7,7.7,144,2.8,0.97,9.2,33,1.8(BDL),1(BDL),5(BDL),54,12.2,20,1.5(BDL),0.4,60,39.6,20.4,8.82,5(BDL),114,103,12,0.2(BDL),NA,1(BDL),0.44,NA,16.67253,74.572223
37,45785,Aug,0.458333333,"Krishna river at Maighat, Village. Gawali gally, Taluka. Miraj,  District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Clear,Odor Free,0,26,5.9,7.9,3336,3,1.35,6.8,25,1.8(BDL),1(BDL),5(BDL),1260,24.39,12,1.5(BDL),0.52,131,78.6,52.4,23.84,11,246,221,12,0.2(BDL),NA,1(BDL),0.2(BDL),NA,16°51.710’,74°33.459 ’
1906,45755,Aug,0.552083333,"Krishna river at Walwa, D/s of Islampur near Vithal Temple, Village. Walwa, Taluka. Walwa, District. Sangli.",River,Krishna,Krishna,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Clear,Odor Free,0,27,6.7,7.9,2244,2.8,1.12,6.1,24,1.8(BDL),1(BDL),5(BDL),1100,8.35,16,1.5(BDL),0.4,99.6,63.2,36.4,6.24,5(BDL),168,151,12,0.2(BDL),NA,1(BDL),0.2(BDL),NA,17°01.674,74°22.131'
5988,45755,Aug,0.527777778,"Krishna River at nagthane KT weir, nagthane, Tal-Walwa, Dist-Sangli",River,NA,NA,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Clear,Odor Free,0,27,6.1,7.9,2618,3,1.24,8.3,34,1.8(BDL),1(BDL),5(BDL),1080,17.74,20,1.5(BDL),0.54,112,67.4,44.6,15.14,8,202,182,12,0.2(BDL),NA,1(BDL),0.2(BDL),NA,17.02545,74.39523
5989,45785,Aug,0.475694444,"Krishna River at krishna ghat, miraj Dist-Sangli",River,NA,NA,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Muddish,Odor Free,0,26,6.2,7.9,2725,3,1.45,8.1,33,1.8(BDL),1(BDL),5(BDL),1160,18.54,20,1.68,0.61,113,69.4,43.6,19.24,8.4,204,184,12,0.2(BDL),NA,1(BDL),0.22,NA,16.78852,74.6315
5990,45785,Aug,0.53125,"Krishna River at new haripur bridge, Tal- Miraj, Dist-Sangli",River,NA,NA,Sangli,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Cloudy,Less than 50cm,Others,No,Muddish,Odor Free,0,27,6.8,8,2348,2.8,1.1,6.1,26,1.8(BDL),1(BDL),5(BDL),1000,15.25,16,1.5(BDL),0.4,97.4,62,35.4,13.56,7,174,157,12,0.2(BDL),NA,1(BDL),0.22,NA,16.84793,74.53857
2164,45816,Aug,0.211805556,"Vashishti river at U/s of Three M Paper Mills near M/s Multifilms Plastic  Pvt. Ltd ., Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,NA,6.8,7.3,130,2.6,0.58,6.8,26,1.8(BDL),1(BDL),5(BDL),56,5(BDL),12,1.5(BDL),0.4,60.6,34.8,25.8,6.01,5(BDL),102,92,12,0.2(BDL),NA,1(BDL),0.31,NA,17°31.513’,73°33.057’
2713,45816,Aug,0.722222222,"Vashishti river at D/s of Three M Paper Mills near Chiplun water intake  jackwell,  Village. Kherdi, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,NA,6.7,7.3,129,2.8,0.55,4.5,22,1.8(BDL),1(BDL),5(BDL),62,5(BDL),16,1.5(BDL),0.56,58.4,32.4,26,6.29,5(BDL),101,91,11,0.2(BDL),NA,1(BDL),0.25,NA,17° 39.567’,73° 32.357’
2714,45816,Aug,0.670138889,"Vashishti river at U/s of Pophali near Konphansawane bridge, Village. Pophali, Taluka. Chiplun, District. Ratnagiri.",River,Vashisthi,Vashisthi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,NA,6,7.6,75,3,0.3(BDL),9.3,34,1.8(BDL),1(BDL),5(BDL),44,6.9,20,1.5(BDL),0.4,38.6,21.8,16.8,7.01,5(BDL),64,58,11,0.2(BDL),NA,1(BDL),0.23,NA,17° 26.266’,73° 39.420’
2804,45816,Aug,0.75,"Karambavane creek at Chiplun, Village. Karambavane, Taluka. Chiplun, District. Ratnagiri.",Creek,Karambavane,Karambavane,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,NA,7,7.4,655,2.8,0.3(BDL),6,25,1.8(BDL),1(BDL),5(BDL),64,150.15,12,1.5(BDL),0.54,87.2,34.2,53,23.38,68,468,421,12,0.2(BDL),NA,1.64,0.2(BDL),NA,17° 34.867’,73° 25.913’
2676,45755,Aug,0.604166667,"Muchkundi river at Waked, Ratnagiri, near M/s Asahi India Glass Ltd., Village. Waked, Taluka. Lanja, District. Ratnagiri.",River,Muchkundi,Muchkundi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,None,C (Drinking water source),,None,Clear,50-100cm,Idol Emersion Wading,Yes,Clear,Odor Free,0,28,6.9,7.4,153,2.8,0.34,5.6,24,1.8(BDL),1(BDL),5(BDL),34,26.39,12,1.5(BDL),0.62,41.2,15,26.2,14.3,12,118,106,12,0.2(BDL),NA,1(BDL),0.32,NA,16° 46.450’,73° 34.968’
2813,45755,Aug,0.420138889,"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",Sea,Ganptipule,Ganptipule,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,None,B (Outdoor bathing(Organized)),,None,Clear,50-100cm,"Bathing,Fishing,Boating,Tourism Spot,Idol Emersion Wading",Yes,Clear,Odor Free,0,28,6.9,7.9,47120,12,0.47,27,110,NA,1(BDL),14,104,18069.4,280,1.5(BDL),0.4,7390,1160,6230,3862,8300,38400,34560,14,0.2(BDL),NA,262,2.9,NA,17° 08.721’,73° 15.930’
2814,45755,Aug,0.5,"Sea water at Bhagwati Bunder, Ratnagiri near Ultra Tech Cement Jetty , Village. Mirkarwada, Taluka. Ratnagiri, District. Ratnagiri.",Sea,Bhagwati Bundar,Bhagwati Bundar,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,00-01-1900,B (Outdoor bathing(Organized)),,Muncipal Sewage,Clear,50-100cm,"Bathing,Fishing,Boating,Tourism Spot,Idol Emersion Wading",Yes,Clear,None,0,28,7,7.9,46480,14,0.51,32,120,NA,1(BDL),12,110,18344.31,288,1.5(BDL),0.4,6320,1160,5160,3208,8400,37600,33840,14,0.2(BDL),NA,283,2.7,NA,16° 59.932’,73° 16.349’
2815,45755,Aug,0.482638889,"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",Sea,Mandvi,Mandvi,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,B (Outdoor bathing(Organized)),,Muncipal Sewage,Clear,50-100cm,"Bathing,Fishing,Boating,Tourism Spot,Idol Emersion Wading",Yes,Clear,Odor Free,0,28,6.8,7.9,29670,13,0.4,13,70,NA,1(BDL),8,86,10246.82,252,1.5(BDL),0.42,4015,775,3240,2699,5200,24200,21780,13,0.2(BDL),NA,212,2.4,NA,16° 59.312’,73° 17.055’
2790,45755,Aug,0.513888889,"Pimpal.Paneri nalla at Ratnagiri near Finolex Industries, Village. Yahganigaon, Taluka. Ratnagiri, District. Ratnagiri.",Nala,Pimpal Paneri,Pimpal Paneri,Ratnagiri,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,50-100cm,Others,Yes,Clear,Odor Free,0,28,7.1,7.3,239,2.6,1.47,5.5,20,1.8(BDL),1(BDL),5(BDL),60,41.49,16,1.5(BDL),0.4,53.4,44.6,8.79,7.25,18,178,160,11,0.2(BDL),NA,1.12,0.42,NA,16° 55.175’,73° 17.944’
2199,45755,Aug,0.697916667,"Savitri river at Ovale village, Village. Ovale, Taluka. Mahad, District. Raigad.",River,Savitri,Savitri,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,None,0,28,6.8,7.7,105,3,0.3(BDL),5.6,22,1.8(BDL),1(BDL),5(BDL),46,18.59,16,1.5(BDL),0.4,48,25.2,22.8,9.6,8.5,91,78,12,0.2(BDL),NA,1(BDL),0.2(BDL),NA,18°04.239’,73°19.942’
2701,45755,Aug,0.510416667,"Savitri river Jackwell at Upsa kendre , Village. Nangalwadi, Taluka. Mahad, District. Raigad.",River,Savitri,Savitri,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Washing,Fishing",Yes,Clear,None,0,28,6.9,7.6,92,2.8,0.3(BDL),6.1,27,1.8(BDL),1(BDL),5(BDL),46,6.7,16,1.5(BDL),0.41,42.6,27.8,14.8,9.2,5(BDL),76,68,11,0.2(BDL),NA,1(BDL),0.36,NA,18° 05.515’,73° 27.943’
2702,45755,Aug,0.590277778,"Savitri river at Shedav Dov, Village. Shedav Dov, Taluka. Mahad, District. Raigad.",River,Savitri,Savitri,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Washing,Fishing",Yes,Clear,None,0,28,6.8,7.6,106,3,0.3(BDL),6.1,26,1.8(BDL),1(BDL),5(BDL),46,8.85,16,1.5(BDL),0.4,43.6,26.2,17.4,10.1,5(BDL),88,79,12,0.2(BDL),NA,1(BDL),0.45,NA,18° 05.177’,73° 26.613’
2703,45755,Aug,0.611111111,"Savitri river at Dadli road bridge, Village. Dadli, Taluka. Mahad, District. Raigad.",River,Savitri,Savitri,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,None,0,28,6.9,7.6,84,2.4,0.3(BDL),6.8,26,1.8(BDL),1(BDL),5(BDL),40,8.8,20,1.5(BDL),0.48,38.8,23.2,15.6,9.6,5(BDL),67,60,11,0.2(BDL),NA,1(BDL),0.55,NA,18° 04.455’,73° 25.237’
2704,45755,Aug,0.638888889,"Savitri river at Muthavali village,  Village. Muthavali, Taluka. Mahad, District. Raigad.",River,Savitri,Savitri,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,None,0,28,6.7,7.6,89,2.8,0.3(BDL),6.1,24,1.8(BDL),1(BDL),5(BDL),38,8.85,12,1.5(BDL),0.4,38.8,23.2,15.6,8.5,5(BDL),69,62,11,0.2(BDL),NA,1(BDL),0.32,NA,18° 04.317’,73° 23.647’
5996,45969,Aug,0.722222222,"Ulhas river neral, Tal- Karjat, Dist- Raigad",River,NA,NA,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Bathing,Washing,Gardening,Others",Yes,Clear,None,0,29,7.2,7.4,148,3,0.59,14,140,1.8(BDL),8.64,5(BDL),72,14,12,1.5(BDL),0.4,62,32,30,5(BDL),8.21,120,106,14,0.24,0.5(BDL),1(BDL),0.2(BDL),NA,18.73856,73.32371
5997,45816,Aug,0.71875,"Kundalika river , kolad, Dist- Raigad",River,NA,NA,Raigad,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Bathing,Washing,Gardening,Others",Yes,Clear,None,0,28,7.2,7.6,225,3,0.3(BDL),23,140,1.8(BDL),1(BDL),5(BDL),32,15.5,8,1.5(BDL),0.4,30,14,16,5(BDL),7.15,192,168,10(BDL),0.2(BDL),0.5(BDL),1(BDL),0.2(BDL),NA,18.411402,73.2122
2165,45846,Aug,0.5,"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea, Gate Way of India, Gate Way of India,Mumbai,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,Odor Free,0,28,4.4,8,31140,16,0.95,220,540,NA,1.87,5(BDL),136,16994.73,80,2.24,0.4,3920,740,3180,1108,7885,30310,26673,48,0.24,1.48,99.3,0.57,NA,18°55.348’,72°50.081’
2166,45846,Aug,0.572916667,"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,Churni Road,Churni Road,Mumbai,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,Odor Free,0,28,4.4,7.9,31220,14,0.93,220,920,NA,2.16,5(BDL),130,15995.04,76,2.24,0.44,3980,740,3240,1108,7158,29920,26330,50,0.22,1.53,356,0.56,NA,18°56.977’,72°49.127’
2167,45816,Aug,0.458333333,"Sea water at Worli seaface, Village. Worli, Taluka. Worli, District. Mumbai.",Sea,Worli Seaface,Worli Seaface,Mumbai,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,Odor Free,0,28,4.6,7.8,31240,12,0.95,140,540,NA,1.69,5(BDL),144,16794.79,72,2.24,0.4,4000,780,3220,1019,8499,30910,27201,48,0.23,1.6,216.4,0.55,NA,18°59.820’,72°48.722’
1318,45816,Aug,0.416666667,"Mahim creek at Mahim Bay, Village. Mahim, Taluka. Mumbai, District. Mumbai.",Creek,Mahim Creek,Mahim Creek,Mumbai,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,Odor Free,0,28,4.6,7.9,31010,14,0.93,430,920,NA,2.1,5(BDL),126,11746.36,64,2.24,0.4,4240,780,3420,1033,9127,27358,24195,32,0.24,1.72,201.55,0.53,NA,19° 02’,72° 48’
